Player,Team,Pos,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Kendre Miller,RB45,NO,0,0,0,498,3.2,26,223,1
Jameson Williams,WR52,DET,0,0,0,40,0.4,48,684,3.7
Los Angeles Rams,DST31,LAR,--,--,--,--,--,--,--,--
Carolina Panthers,DST32,CAR,--,--,--,--,--,--,--,--
Evan Engram,TE9,JAC,0,0,0,4,0,70,701,4.2
Romeo Doubs,WR53,GB,0,0,0,6,0.1,49,618,5.4
David Njoku,TE10,CLE,0,0,0,0,0,66,670,4.7
Keon Coleman,WR54,BUF,0,0,0,8,0.1,53,685,4.2
Ty Chandler,RB46,MIN,0,0,0,503,4,24,176,0.5
Jerome Ford,RB47,CLE,0,0,0,478,2.4,32,227,1.5
MarShawn Lloyd,RB48,GB,0,0,0,469,3.9,23,180,0.8
Bucky Irving,RB49,TB,0,0,0,549,3.4,21,139,0.5
Tyler Lockett,WR55,SEA,0,0,0,0,0,60,709,3.5
Chuba Hubbard,RB50,CAR,0,0,0,586,2.9,20,129,0.5
Xavier Legette,WR56,CAR,0,0,0,27,0.3,56,677,3.2
Rashee Rice,WR57,KC,0,0,0,5,0.1,50,609,4.7
Brandin Cooks,WR58,DAL,0,0,0,14,0.1,49,591,4.7
Josh Downs,WR59,IND,0,0,0,26,0.2,55,657,3.2
Jerry Jeudy,WR60,CLE,0,0,0,0,0,56,685,3.3
Curtis Samuel,WR61,BUF,0,0,0,27,0.4,56,605,3.7
Adam Thielen,WR62,CAR,0,0,0,5,0.1,53,633,3.7
Antonio Gibson,RB51,NE,0,0,0,387,2.2,36,274,1.1
Ray Davis,RB52,BUF,0,0,0,496,3.3,16,114,0.5
Jakobi Meyers,WR63,LV,0,0,0,13,0.1,53,612,3.4
Darnell Mooney,WR64,ATL,0,0,0,0,0,44,611,3.7
Brock Bowers,TE11,LV,0,0,0,0,0,55,627,3.4
Dontayvion Wicks,WR65,GB,0,0,0,8,0.1,41,574,3.7
Troy Franklin,WR66,DEN,0,0,0,11,0.1,45,620,2.8
Mike Williams,WR67,NYJ,0,0,0,0,0,48,557,4
Braelon Allen,RB53,NYJ,0,0,0,503,2.5,17,111,0.4
Khalil Herbert,RB54,CHI,0,0,0,491,3.8,9,62,0.1
Ja'Lynn Polk,WR68,NE,0,0,0,19,0.1,46,587,2.8
Dameon Pierce,RB55,HOU,0,0,0,501,2.7,12,86,0.4
Dallas Goedert,TE12,PHI,0,0,0,0,0,52,562,3.5
Alexander Mattison,RB56,LV,0,0,0,443,2.4,23,155,0.5
Audric Estime,RB57,DEN,0,0,0,430,3.1,17,126,0.4
Dalton Schultz,TE13,HOU,0,0,0,0,0,55,567,3.2
Drew Lock,QB34,NYG,1150,6.2,4.7,84,1,0,0,0
Hunter Henry,TE14,NE,0,0,0,0,0,46,529,3.8
Jermaine Burton,WR69,CIN,0,0,0,21,0.1,40,496,3.6
J.K. Dobbins,RB58,LAC,0,0,0,459,3.3,10,67,0.2
Jahan Dotson,WR70,WAS,0,0,0,10,0.1,45,532,3.1
Pat Freiermuth,TE15,PIT,0,0,0,0,0,50,512,3.7
Ricky Pearsall,WR71,SF,0,0,0,11,0.1,42,536,2.9
Cole Kmet,TE16,CHI,0,0,0,0,0,46,503,3.6
Isaiah Likely,TE17,BAL,0,0,0,0,0,41,508,3.5
Roman Wilson,WR72,PIT,0,0,0,22,0.2,36,494,3.1
Cade Otton,TE18,TB,0,0,0,0,0,49,502,3.5
Michael Wilson,WR73,ARI,0,0,0,8,0.1,41,516,3
Luke Musgrave,TE19,GB,0,0,0,0,0,51,522,3.1
Malachi Corley,WR74,NYJ,0,0,0,30,0.2,40,486,3
Demario Douglas,WR75,NE,0,0,0,23,0.2,39,518,2.5
Keaton Mitchell,RB59,BAL,0,0,0,378,3.1,14,102,0.5
Jalen Tolbert,WR76,DAL,0,0,0,9,0.1,39,505,2.9
Roschon Johnson,RB60,CHI,0,0,0,317,2,27,190,1
Tyler Conklin,TE20,NYJ,0,0,0,0,0,51,505,3
T.J. Hockenson,TE21,MIN,0,0,0,0,0,50,509,2.9
Tyrone Tracy Jr.,RB61,NYG,0,0,0,348,2.3,22,160,0.6
Will Shipley,RB61,PHI,0,0,0,343,2.3,24,171,0.5
Isaac Guerendo,RB63,SF,0,0,0,408,2.5,12,98,0.4
Jalen McMillan,WR77,TB,0,0,0,20,0.1,38,490,2.7
Jaylen Wright,RB64,MIA,0,0,0,365,2.5,18,132,0.5
Demarcus Robinson,WR78,LAR,0,0,0,15,0.2,40,505,2.4
Elijah Mitchell,RB65,SF,0,0,0,442,2.9,8,55,0.1
D'Onta Foreman,RB66,CLE,0,0,0,407,3,10,71,0.3
Wan'Dale Robinson,WR79,NYG,0,0,0,34,0.3,49,490,2.2
Quentin Johnston,WR80,LAC,0,0,0,4,0.1,43,483,3
Ben Sinnott,TE22,WAS,0,0,0,0,0,44,493,2.8
Chigoziem Okonkwo,TE23,TEN,0,0,0,8,0.1,45,508,2.3
Tyler Boyd,WR81,TEN,0,0,0,6,0,41,512,2.3
Marvin Mims Jr.,WR81,DEN,0,0,0,25,0.3,37,476,2.3
Jalin Hyatt,WR83,NYG,0,0,0,0,0,35,486,2.7
Kimani Vidal,RB67,LAC,0,0,0,337,2,18,145,0.7
Rondale Moore,WR84,ATL,0,0,0,85,0.4,43,405,2
Clyde Edwards-Helaire,RB68,KC,0,0,0,321,2.5,15,127,0.6
Javon Baker,WR85,NE,0,0,0,25,0.1,34,452,2.4
Jonnu Smith,TE24,MIA,0,0,0,4,0.1,40,438,2.9
Luke McCaffrey,WR86,WAS,0,0,0,12,0.1,36,450,2.5
DJ Chark Jr.,WR87,LAC,0,0,0,0,0,38,432,3
Tank Bigsby,RB69,JAC,0,0,0,342,2.8,12,79,0.3
Brandon Powell,WR88,MIN,0,0,0,30,0.3,32,398,2.4
Odell Beckham Jr.,WR89,MIA,0,0,0,6,0,34,397,2.8
Chris Rodriguez Jr.,RB70,WAS,0,0,0,379,2.4,5,36,0.2
Devontez Walker,WR90,BAL,0,0,0,17,0.2,32,403,2.2
Sam Darnold,QB35,MIN,906,4.9,3.5,54,0.3,0,0,0
Noah Fant,TE25,SEA,0,0,0,0,0,39,417,2.3
Trenton Irwin,WR91,CIN,0,0,0,10,0.1,36,388,2.5
Juwan Johnson,TE26,NO,0,0,0,0,0,42,393,2.6
Aidan O'Connell,QB36,LV,1012,5.4,4.7,9,0.2,0,0,0
Rashod Bateman,WR92,BAL,0,0,0,17,0.2,30,379,2.3
Kevin Harris,RB71,NE,0,0,0,345,2.5,5,37,0.2
Greg Dortch,WR93,ARI,0,0,0,21,0.2,42,396,1.8
Darius Slayton,WR94,NYG,0,0,0,0,0,31,392,2.4
Greg Dulcich,TE27,DEN,0,0,0,0,0,35,404,2.2
A.T. Perry,WR94,NO,0,0,0,7,0.1,36,385,2.3
Tre Tucker,WR96,LV,0,0,0,54,0.3,25,359,1.7
Cedric Tillman,WR97,CLE,0,0,0,16,0.1,33,364,2.4
Trey Palmer,WR98,TB,0,0,0,16,0.1,35,376,2.2
Devin Duvernay,WR99,JAC,0,0,0,25,0,35,366,2.3
Isaiah Spiller,RB72,LAC,0,0,0,306,1.9,12,86,0.3
Mike Gesicki,TE28,CIN,0,0,0,0,0,40,379,2.4
Spencer Rattler,QB37,NO,521,2.4,1.8,39,0.3,16,137,1
